104类题目编号;
27;Use the formula x1 = (-b + sqrt(b*b-4*a*c))/(2*a) x2 = (-b - sqrt(b*b-4*a*c))/(2* a) Find the root of the unary quadratic equation ax2 + bx + c = 0, where a is not equal to zero.
28;Enter a sequence of words, separated by one or more spaces between adjacent words, please calculate the length of each word accordingly. Note that if there are punctuation marks (such as hyphens, commas), the punctuation marks are counted as part of the word connected to it. A string of symbols that are not separated by spaces is counted as a word.
29;There is a fractional sequence: 2/1, 3/2, 5/3, 8/5, 13/8, 21/13, ... Find the sum of the first n terms of this series.
30;A positive integer, if it can be divisible by 7, or its number in a decimal representation is 7, it is called the number associated with 7. Now all is less than or equal to n (n &lt; 100) The sum of the squares of positive integers unrelated to 7.
31;Use the dynamic linked list to record student information (student number, name, gender, age, score, address) entered from standard input
32;Find the difference between two large positive integers
33;Deoxyribonucleic acid (DNA) is a combination of two complementary base strands in a double helix. There are four kinds of bases constituting DNA, which are adenine (A), guanine (G), thymine (T), and cytosine (C). We know that at the corresponding positions of two complementary base strands, adenine is always paired with thymine, and guanine is always paired with cytosine. Your task is to give the base sequence on the corresponding complementary strand based on the base sequence on a single strand.
34;The so-called angle valley conjecture means that for any positive integer, if it is an odd number, it is multiplied by 3 plus 1. If it is an even number, it is divided by 2, and the obtained result is repeated according to the above rule, and finally, 1 is always obtained. For example, assuming the initial integer bit 5, the calculation process is 16, 8, 4, 2, 1, respectively. The program asks for an integer to be output and the process that gets processed 1 is output.
35;A saddle point is a position in a two-dimensional array (represented by rows and columns) where the element is the largest on the line and the smallest on the column. Suppose the values ​​of the elements are not equal, at most 1 saddle point, or there may be no saddle points. The number of rows and columns of the two-dimensional array does not exceed 8, please output the saddle point position.
36;Determines whether a string can be obtained by rearranging characters from another character. <font color="red">Note that the character case is distinguished here!</font>
37;Given t strings, this string can only consist of 26 lowercase letters. Please find the first character that appears only once. If there is no character that meets the requirements, it will output no.
38;In the analysis of clinical trial results, the mean square error is a commonly used analytical indicator. The formula for finding the mean square error S is as follows (assuming there are n numbers, x[i] is its ith number): S = (the square of the mean of (x[0]-x) + (x[1]-x Square of the mean + square of (the average of x[2]-x) + square + the square of (the average of x[n-1]-x)) square root of /n) (the mathematical formula See picture below) <img src="pic.gif" height="100">
39;It is customary for a school to issue scholarships after the final exams for each semester. There are five kinds of scholarships awarded, and the conditions for each acquisition are different: 1) Academic scholarships, 8,000 yuan per person, students with a final grade of more than 80 points (&gt;80), and who have published one or more papers during the semester 2) May Fourth Scholarship, 4,000 yuan per person, the final grade average score is higher than 85 points (&gt;85), and students with grades higher than 80 points (&gt;80) can get it; 3) Achievement Excellence Award 2,000 yuan per person, students with an average score of more than 90 points (&gt;90) at the end of the period; 4) Western scholarships, 1,000 yuan per person, and students in the western provinces with an average ending score of 85 or more (&gt;85) 5) Class contribution awards, 850 yuan per person, and student cadres with class evaluation scores higher than 80 points (&gt;80) are available; as long as they meet the conditions, they can win prizes. There is no limit on the number of winners for each scholarship. Students can also receive multiple scholarships at the same time. For example, Yao Lin&#39;s final grade is 87 points, class evaluation score of 82 points, and he is still a student cadre, then he can get the May Fourth Scholarship and class contribution awards at the same time, the total prize money is 4850 yuan. Now give some data about the students, please calculate which students get the highest total number of bonuses (assuming there are always students who can meet the conditions for obtaining scholarships).
40;If the four sides of the quadrilateral are a, b, c, and d, respectively, and the sum of the pair of diagonals is 2α, the area is: S = sqrt((sa)*(sb)*(sc)*(sd) - a*b*c*d*cos <sup>2</sup> α); where s = (a+b+c+d)/2; define a function to calculate the area of ​​any quadrilateral, provided that the length of each side of the quadrilateral is given, and A pair of diagonal sums.
41;The summer is hot and the air conditioner is popular. The products of the five air conditioner manufacturers won the top five in the quality evaluation process. Before the award, everyone knows that E manufacturers&#39; products are not the 2nd and 3rd. The representative of the A factory speculated that the first product of the E factory. The representative of Plant B guessed: Our factory may get second place. The representative of the C factory speculated that the quality of the product of the A factory was the worst. The representative of the D factory speculated that the C factory product is not the best. The representative of the E factory guessed: D factory products will get the first place. After the results of the evaluation were announced, it was found that only the representatives of the two factories that obtained the first and second places were guessing correctly. Please give A, B, C, D, E each number?
42;Given an integer and an array of integers, remove all elements of the array that are equal to the number from the array. The deleted position is moved forward by the latter data. The remaining valid elements in the output array. For example, suppose the given array is int a[20]={1,3,3,0,-3,5,6,8,3,10,22,-1,3,5,11,20,100,3 , 9, 3}; The number to delete is 3, after the deletion, the length of the array is still 20, but the front of 9 is a valid element. After deleting, the array is as follows (just an example, not the final output format, where * means the value of the element is arbitrary): 1, 0, -3, 5, 6, 8, 10, 22, -1, 5, 11 , 20, 100, 9, *, *, *, *, *, * The output is required to be a valid element in the array: 1 0 -3 5 6 8 10 22 -1 5 11 20 100 9 <font color="red">Note: Two definitions are not allowed Arrays are also not allowed to output results directly without shifting the original array. Programs that do not meet this requirement will be deducted from a portion of the job score even if they pass.</font>
43;Geeker is very interested in computer and mathematics. Just after he finished his plan, he will one day wonder if he can edit the small program to verify the Goldbach conjecture, that is, for any given even number m (m&gt;=6 and not exceed Int range), verify that it can be expressed as the sum of two odd prime numbers. Note that 1 is considered neither a prime number nor a composite number.
44;Write a function, the parameter is an integer, return the inverse number of the integer, for example, the parameter is 1576, return an integer of 6751, if it is 1230, it returns 321 . Call this function in the main function and output the result.
45;The two words s and w determine that s appears in the first occurrence in w.
46;Given an array of integer arrays of row rows and columns of col, it is required to start from the array[0][0] element and traverse the entire array clockwise from the outside to the inside. as the picture shows: <img src="cir.gif">
47;Save the values ​​in an array in reverse order. For example, the original order is 8, 6, 5, 4, 1. The requirements were changed to 1, 4, 5, 6, 8.
48;In a square petri dish with a side length of 9, there are m bacteria in the center. It is assumed that the life of the bacteria is only one day, but 10 offspring can be propagated every day, and two of the 10 offspring are distributed in the original cells, and the rest are evenly distributed in the eight adjacent cells. Find the distribution of bacteria in the culture dish after n (1 ≤ n ≤ 4) days.
49;Given a string, output all palindrome substrings. The palindrome substring outputs the same result from left to right and from right to left. For example, abba cccdeedccc is a palindrome string. The length of the substring we are looking for should be greater than or equal to 2.
50;In foreign countries, the 13th of each month and the 5th of every week are unlucky. Especially when the 13th day happens to be 5th of the week, it is even more unlucky. It is known that January 1 of a certain year is week w, and this year must not be a leap year. It is determined that all the 13th of the year is the month of the week 5, and the month numbers are output in ascending order. (w=1..7)
51;The n-gram cross-frequency statistical method is commonly used in text analysis, that is, the frequency at which adjacent n units (such as words, Chinese characters, or characters) appear in the entire text. Suppose there is a string, count the frequency of occurrence of the substring of length n by n-gram in characters, and output the substring with the highest frequency and the highest frequency. Set the given string to no more than 500 characters and 1 &lt; n &lt;5. If there are multiple substrings with the highest frequency, one is output according to the order in which they appear for the first time in the sequence, and one output is output per line. If the highest frequency is not greater than 1, the output NO is, for example, n=3, given The string is: abcdefabcd, then all 3-grams are: abc, bcd, cde, def, efa, fab, abc, bcd. The last cd is not enough to form a 3-gram, so it is not considered. Thus, both abc and bcd appear twice, and the rest only occur once, so the output should be: 2 abc bcd
52;Given a set of integers, it is required to save the set of numbers with an array and then implement a circular movement of the array. Assuming that there are n integers, the previous numbers are shifted back by m positions, and the last m numbers are changed to the first m numbers (m &lt; n). Note that you should not use the method of first outputting the number of m, and then output the first number of nm, and do not use two arrays. It is required to implement only one array. It must be ensured that the order of the output and the order of the numbers in the array are the same when outputting the result. After learning the pointer, use the dynamic array and pointer to achieve circular movement of the array.
53;Enter n integers and delete the elements that appear repeatedly (if three 5s appear, only the first 5 occurrences are deleted, and the last two 5s are deleted), and the remaining elements are sequentially output. The number of integers n is not greater than 300
54;There are 1 pile of apples in total, which are evenly distributed by n monkeys. Only one monkey arrives at the apple dumping site, and each monkey divides the apple equally. The first arriving monkey divided the apple into n equal parts, but found more k (k &lt; n), so throw away the excess k and take 1 part of it. The second monkey also divides the remaining apples into n equal parts, and also finds more k, and also throws away the excess k, and then takes one of them. After that, every monkey is like this (the remaining apples are divided into n equal parts, and more k are found, and the extra k are thrown away, and then one of them is taken away). Assume that at least one apple can be taken after the last monkey is assigned. Calculate the minimum m based on the input n and k values.
55;Find any two different hexadecimal non-negative integer conversions (2nd to 36th), and the given integer is within the range that can be expressed by long. The sign of the different hexadecimal is (0,1,...,9,a,b,...,z) or (0,1,...,9,A,B,...,Z) .
56;Given a positive integer (no more than 5 digits), output the number of bits in reverse order, such as input 123, output 321
57;To a group of words ending with er, ly, and ing, delete the er, ly, or ing at the end of each word, and then output the words after the suffix is ​​deleted in the original order (the length of the word after the suffix is ​​removed is not 0) .
58;Legal identifiers in C are defined as: an alphanumeric string (underlined) starting with an underscore or a letter. Complete a program to determine whether to input the n strings, whether it is a legal identifier of the C language. If yes, output 1, if not output 0
59;A group of susceptible people live in a grid-like dormitory area. The dormitory area is a matrix of n*n, each grid is a room, and the room may be occupied or empty. On the first day, some people in the room got the flu. Every day, people who get the flu will spread their neighbors to the flu. (The disease has not changed.) The empty room will not be infected. Please output the number of people who got the flu on the mth day.
60;Two prime numbers with a phase difference of 2 are called prime pairs, such as 5 and 7, 17 and 19, etc. This topic asks for finding pairs of primes within a specific range.
61;A Fibonacci sequence is a sequence of numbers: the first and second numbers of the series are both 1, and each number is equal to the sum of the first two numbers. Given a positive integer a, what is the a-number in the Fibonacci sequence?
62;There may be more than one space between each word in a sentence, filtering out extra spaces, leaving only one space
63;Let the matrix int a[4][3], the matrix int b[3][5]. The data of the matrix is ​​entered by the user. Output a new matrix c=a*b. Output format: c00 c01 c02 c03 c04 c10 c11 c12 c13 c14 c20 c21 c22 c23 c24 c30 c31 c32 c33 c34 calculation method of matrix multiplication: for matrix A[m][q]*B [q][n], the result of multiplication is matrix C[m][n] and for each item in matrix C there is C[i][j] = A[i][0]*B[0] [j] + A[i][1]*B[1][j] + ..... + A[i][q]*B[q][j] Note: The actual matrix size is not necessarily 4 *3 and 3*5, please read the input instructions below carefully
64;Given n points (no more than 10) in the three-dimensional space, find the distance between the two points, and output the coordinates of the two points and the distance between them according to the distance from large to small.
65;#N/A
66;Given a date, find out which day is the day of the week, Monday to Sunday, respectively, using the following abbreviations: Mon. Tue. Wed. Thu. Fri. Sat. Sun.
67;Cocktail therapy, originally referred to as &quot;high-efficiency antiretroviral therapy&quot; (HAART), was proposed by Chinese-American scientist He Dayi in 1996 to treat AIDS through the combined use of three or more antiviral drugs. The application of the therapy can reduce the drug resistance produced by a single drug, minimize the replication of the virus, and restore some or even all of the damaged immune function, thereby delaying the progression of the disease, prolonging the life of the patient, and improving the quality of life. A number of improved therapies have been proposed based on cocktail therapy. To verify whether these treatments are more effective than cocktail therapy, it can be done by clinical controlled trials. Assuming that the effective rate of cocktail therapy is x, the effective rate of new therapy is y. If yx is greater than 5%, the effect is better. If xy is greater than 5%, the effect is worse, otherwise it is called the effect is similar. N sets of clinical controlled trials are given below, with the first group using cocktail therapy and the other n-1 groups being various improved therapies. Please write a program to determine how well various improved therapies work.
68;A program to verify the Goethebach conjecture. For the input n(n &lt;= 50000) value, for each even number of 6 ~ n, break it down into the sum of the two prime numbers.
69;Calculate the value of a+b
70;Given a set of points (x, y), find the distance between the two points that are furthest away.
71;“Related month” refers to the same number of weeks on the first day of the month. For example, September and December are related because the number of weeks on September 1 and December 1 is always the same. The two months are related, and if only the difference between the first day of the two months can be divisible by 7, that is, the difference between the two days is several full weeks. For example, February and March are generally related months, because there are 28 days in February, which can be divisible by 7 and it happens to be 4 weeks. In the following year, the relevant months in January and February are different from their related months in the ordinary year, because there are 29 days in February, and the number of weeks on the first day of each month is pushed back one day.
72;On an m×n mountain, the average elevation of each plot is known, and all the plots where the top of the hill is located are requested (the so-called hilltop is the four plots whose average elevation is not higher than the top and bottom of each plot. The average elevation of the plot is small).
73;Enter a two-dimensional (5*5) array with only one maximum per line and only one minimum per column. If there is a saddle point, the position (row and column) where the saddle point is located is output, and when there is no saddle point, &quot;not found&quot; is output. The saddle point refers to an element in the array, which is the maximum value of the row, and is the minimum value of the column in which it is located. For example: In the example below (the element in column 1 of row 4 is the saddle point, the value is 8). 11 3 5 6 9 12 4 7 8 10 10 5 6 9 11 8 6 4 7 2 15 10 11 20 25
74;Finds all numbers (including m and n) between two positive integers m and n that are both prime and palindrome, where m is not greater than n. These numbers are output in ascending order. If there is no such number, no is output (the number of palindromes is the number that is equal in the forward direction and the reverse direction, eg, 123321, 121).
75;A recruitment agency organizes recruitment activities without knowing the exact number of participants in advance. In order to select venues of appropriate size for similar recruitment activities in the future, the recruitment agency plans to record the time of entry and exit of each participant. The time for the ith person to enter the venue and the time to leave the venue are xi, yi, respectively, then the time period t of the person at the recruitment venue satisfies xi &lt;= t &lt; yi. For the sake of simplicity, the entry and exit time points are represented by integers and satisfy 0 &lt;= xi &lt; yi&lt;1000. Please statistics, in the recruitment activities of this day, the total number of participants; at the peak, how many people are present at the same time.
76;Given n closed intervals [ai; bi], where i = 1, 2, ..., n. These intervals can be represented by a set of uninterrupted closed intervals. Our task is to find out if these intervals can be represented by an uninterrupted closed interval, and output the smallest closed interval if possible, otherwise output no.
77;In the kindergarten, the teacher arranges the children to do a queuing game. First, the teacher carefully arranges the same number of little boys and girls in a queue, and each child sends a number (number starting from 0) according to its position in the queue. Then the teacher told the children that the little boy standing in front of him could leave the queue with the little girl next to him, the rest of the children would stand up again, and then the little boy and the little girl who were adjacent to each other would leave the queue game hand in hand. Reciprocating. Thanks to the careful arrangement of the teachers, it is guaranteed that every two children can leave the queue hand in hand, and the last two children left are the youngest and the two largest children. (Note: Only the little boy is in front, the little girl is behind, and there are no other children between them, they can hand in hand to leave the queue). Please give the number pairs of the little boys and little girls who left the queue hand in hand according to the teacher&#39;s lineup and the order of the little girls from small to large.
78;Zhao, Qian, Sun, and Li have both adults and children. When they weighed, they found that each of them had different body weights, and the weight (unit: kilogram) was exactly an integer multiple of 10, and their weight. No more than 50 kilograms. It is known that the sum of the weights of Zhao and Qian is exactly equal to the sum of the weights of Sun and Li. The sum of the weights of Zhao and Li is greater than the sum of the weights of Sun and Qian. And the sum of the weight of Zhao and Sun is still less than the weight of the money. Please write a program that prints the first letter and the weight of the four people&#39;s last names in descending order (separated by spaces, one per line).
79;Joseph&#39;s question: There are n monkeys, circled in a clockwise direction to choose the king (numbered from 1 to n), starting from the first number, counting up to m, counting the monkeys to m out of the circle, leaving The monkey then went on to count from 1 onwards. In this way, until there is only one monkey left in the circle, this monkey is the monkey king. After programming, enter n, m, and output the number of the last monkey.
80;Given two years, the number of days between calculations. For example, the difference between 2010-1-1 and 2010-1-3 is 2 days. Year=1,2,...,3000. Supplement: The leap year is: (year % 4 == 0 &amp;&amp; year % 100 != 0) || (year % 400 == 0), 29 days in February of the following year .
81;Write a function with a 2D array of input parameters of 5*5 and two row subscripts of n, m. Function: Determine whether n, m is in the range of the array, if not, return 0; if it is within the range, then exchange n and m rows, and return 1. In the main function, generate a 5*5 matrix, enter the matrix data, and enter the values ​​of n, m. Call the previous function. If the return value is 0, output error. If the return value is 1, the output swaps the new matrix after n, m.
82;The monitoring room measures the patient&#39;s blood pressure every hour. If the systolic blood pressure is between 90 and 140 and the diastolic blood pressure is between 60 and 90 (including the endpoint value), it is called normal. Now, the blood pressure value of several measurements of a patient is given. , calculate the maximum number of hours a patient maintains normal blood pressure
83;Peking University implements an average grade point system (GPA) for undergraduate grades. The actual scores of the students are calculated according to different formulas according to different disciplines. The rules that have been used are as follows: Actual grade point 90-100 4.0 85-89 3.7 82-84 3.3 78-81 3.0 75-77 2.7 72-74 2.3 68-71 2.0 64-67 1.5 60-63 1.0 60 or less 0 1 . Grade point for a course = Grade point of the course * Credits for the course 2. The overall grade point = the sum of all disciplines&#39; grade points / the sum of all course credits now requires you to write a program to find someone&#39;s total grade point (GPA).
84;Write a program that reads in a series of integers and finally outputs the two largest numbers.
85;Given n strings that do not contain whitespace, please determine if they are legal identifiers for C (note: these strings must not be C keywords).
86;Children playing skipping competitions, we have to calculate how many jumps in one minute. Suppose we jump every second. If it fails halfway, it will take three seconds to start jumping again. Generally, children skipping for a minute and jumping several times. Now give the total number of children who have jumped each time they break, and ask the children how many times they have jumped in one minute. (Please note the sample data.)
87;#N/A
88;Enter a string of no more than 30 characters with numeric and non-numeric characters, count how many non-negative integers are included, and output such non-negative integers.
89;Among n people, a person who is known by everyone but does not know others is defined as a celebrity. The question now is to try to find out the celebrity if it exists. The only way you can use is to ask: &quot;Do you know that person?&quot; Please give the algorithm for the number of questions <i>O</i> ( <i>n</i> ).
90;Put M identical apples on N identical plates, allow some plates to be left empty, and ask how many different ways (in K)? Note: 5,1,1 and 1,5,1 are the same distribution.
91;Write a program that asks for the string s1 of the relatives of the given string s. The relatives and friends string s1 is defined as follows: the ASCII value of the first character of the given string s plus the ASCII value of the second character, to get the first relatives and characters; the ASCII value of the second character of the given string s plus The ASCII value of the third character gets the second relative&#39;s character; and so on, until the second to last character of the given string s. The last character of the family member string is the ASCII value of the first character of the given character string s plus the ASCII value of the first character.
92;You must have heard the story of Tian Ji horse racing? If 3 horses become 1000 horses, Qi Wang still let his horses play in the order of superior to bad, Tian Ji can choose his horse race in any order. Win a game, Tian Ji can get 200 two silver, lose a game, Tian Ji will lose 200 two silver, if you do not lose, you can&#39;t win. How much money can Tian Ji win at most?
93;Enter an integer to determine whether it can be divisible by 3, 5, 7 and output the following information: (1) Divisible by 3, 5, 7 at the same time (direct output 3 5 7, a space between each number); Can be divisible by two of them (output two numbers, small first, big later. For example: 3 5 or 3 7 or 5 7, separated by spaces) (3) can be divisible by one of them ( Output this divisor) (4) Cannot be divisible by any number; (output lowercase character n)
94;Given a sequence of positive integers of length N (not greater than 500), take all of the odd numbers out and output them in ascending order.
95;In general, we can use strcmp to compare the size of two strings. The comparison method is to compare the two strings from the way to the next character (by ASCII code size comparison) until different characters appear or encounter &#39;\0&#39;. . If all characters are the same, the same is considered; if there are different characters, the comparison result of the first different characters is subject to the comparison. But sometimes, when we compare the size of a string, we want to ignore the size of the letters. For example, &quot;Hello&quot; and &quot;hello&quot; are equal when ignoring the case of letters. Please write a program that implements a size comparison that ignores the case of two strings.
96;Enter a large integer N greater than 0 and no more than 100 bits in length. It is required to output the quotient and remainder obtained by dividing by the integer division of 13.
97;Enter a specified amount from the keyboard (in units of yuan, such as 345), and then output the amount of RMB in various denominations that pay the amount, showing 100 yuan, 50 yuan, 20 yuan, 10 yuan, 5 yuan, 1 yuan each. It is required to use large denominations of banknotes as much as possible.
98;Give an English essay with words separated by spaces (words include punctuation marks immediately before and after them). Please type the essay according to the principle that each line does not exceed 80 characters, and each word resides on one line. The words in the same line are separated by a space, and there is no space at the beginning and end of the line.
99;A hospital wants to count whether the acquisition of a disease is related to age, and it is necessary to sort out the previous diagnosis records.
100;There is a sequence of symbols (no more than 300 symbols), please count the number of occurrences of the English letters in them, and output the English letters and their occurrences in alphabetical order, and treat them in upper and lower case. If there is no letter, output No.
101;3 people than the amount of food, each person said two sentences: A said: B is more than I eat, C and I eat as much B said: A is more than I eat, A also eats more than C C said: I eat more than B, B eats more than A. In fact, the number of meals and the number of correct assertions is a reverse order. Please program the order of 3 people according to the size of the meal.
102;Xiaoyun and friends went to climb Xiangshan, intoxicated by the beautiful scenery, and wanted to take a group photo. If they stand in a row, the boys are all on the left (from the perspective of the photographer), and in the order from short to high, the girls are all on the right, and in order from high to short, what are the effects of their group photo? Kind (all people are different in height)?
103;In data compression, a common approach is run length compression. For strings, we can record each character and the number of iterations in turn. This compression is effective for the case where the adjacent data is repeatedly repeated. For example, if the string to be compressed is &quot;AAABBBBCBB&quot;, the compression result is (A, 3) (B, 4) (C, 1) (B, 2). Of course, if the adjacent characters are less repeated, the compression efficiency is lower. It is now required to get the case-insensitive compression result based on the input string.
104;<center><img src="2756.jpg"></center> As shown in the figure above, an infinite binary tree is composed of positive integers 1, 2, 3, .... From a node to the root node (the node numbered 1) has a unique path, such as the path from 10 to the root node is (10, 5, 2, 1), from 4 to the root node The path is (4, 2, 1), and only one node 1 is included in the path from root node 1 to the root node, so the path is (1). For the two nodes x and y, assume that their path to the root node is (x <sub>1</sub> , x <sub>2</sub> , ... , 1) and (y <sub>1</sub> , y <sub>2</sub> , ..., 1) (there are obviously x = x <sub>1</sub> , y = y <sub>1</sub> ), then there must be two positive integers i and j such that starting from x <sub>i</sub> and y <sub>j</sub> , there is x <sub>i</sub> = y <sub>j</sub> , x <sub>i + 1</sub> = y <sub>j + 1</sub> , x <sub>i + 2</sub> = y <sub>j + 2</sub> ,... The problem now is that given x and y, x <sub>i</sub> (that is, y <sub>j</sub> ) is required.
